Food Group Code,Food Group and Sub-Group Name
11,Non-alcoholic beverages
111,Tea
11101,"Tea, regular, caffeinated, prepared with water"
11102,"Tea, regular, caffeinated, prepared with milk or milk substitute"
11103,"Tea, regular, decaffeinated, prepared with water or milk"
11104,Tea mixed with other foods
11105,Herbal tea
11106,Tea powders and bases
112,Coffee and coffee substitutes
11201,"Coffee beverage, prepared with water"
11202,"Coffee beverage, prepared with milk or milk substitute"
11203,"Coffee beverage, decaffeinated, prepared with water"
11204,"Coffee beverage, decaffeinated, prepared with milk or milk substitute"
11205,"Dry coffee powder, caffeinated or decaffeinated"
11206,"Coffee substitutes, beverage"
11207,"Coffee substitutes, powders and bases"
11208,"Coffee-based mixes, beverage "
11209,Dry or concentrate coffee-based mixes
113,"Fruit and vegetable juices, and drinks "
11301,"Fruit juices, commercially prepared"
11302,"Fruit juices, freshly-squeezed"
11303,"Fruit juices, fortified"
11304,Vegetable juices
11305,"Vegetable juices, freshly squeezed"
11306,Fruit and vegetable juice blends
11307,Fruit drinks (ready to drink or made from concentrate)
11308,Vegetable drinks
11309,"Fruit drink, prepared from dry powder"
114,Cordials
11401,"Cordials, made from concentrate"
11402,"Cordials, made from concentrate, intense sweetened"
11403,Cordial concentrate
11404,"Cordial concentrate, intense sweetened "
115,"Soft drinks, and flavoured mineral waters"
11501,"Soft drinks, non-cola "
11502,"Soft drinks, non-cola, intense sweetened "
11503,"Soft drinks, cola"
11504,"Soft drinks, cola, intense sweetened"
11505,Flavoured mineral waters
11506,"Flavoured mineral waters, intense sweetened"
116,"Electrolyte, energy and fortified drinks"
11601,Electrolyte drinks (sports drinks)
11602,Electrolyte drink bases (sport drink bases)
11603,Energy drinks
11604,"Energy drinks, intense sweetened"
117,"Waters, municipal and bottled, unflavoured"
11701,"Domestic water (including tap, tank/rain water)"
11702,Purchased packaged water including mineral water
11703,"Purchased packaged water, fortified "
118,Other beverage flavourings and prepared beverages
11801,Fortified beverage flavourings prepared with water or milk
11802,Fortified dry beverage flavourings
11803,Unfortified beverage flavourings prepared with water or milk
11804,Unfortified dry beverage flavourings
11805,Breakfast cereal beverages
11806,Other beverages
12,Cereals and cereal products
121,Flours and other cereal grains and starches
12101,Grains (other than rice) and grain fractions
12102,Rice and rice grain fractions
12103,Cereal flours and starches
12104,"Cereal flours and starches, fortified"
122,"Regular breads, and bread rolls (plain/unfilled/untopped varieties) "
12201,"Breads, and bread rolls, white, mandatorily fortified"
12202,"Breads, and bread rolls, white, additional voluntary fortification"
12203,"Breads, and bread rolls, white, not stated as to fortification"
12204,"Breads, and bread rolls, mixed grain, mandatorily fortified "
